case,profile,privacy_refs,byuse,egress_request,verdict,evidence_grade,admission_verdict,privacy_check,notes
case_01,PROFILE_OPENRAN_RIC,"policy=PRIV@v4, scope=SCOPE.MIN",NONE,NONE,READY,DELIVERY_GRADE,ADMIT,PASS,"All refs present, no BYUSE ¡÷ READY + DELIVERY_GRADE"
case_02,PROFILE_OPENRAN_RIC,NONE,NONE,NONE,READY,NOT_CLOSURE_GRADE,DENY,FAIL,Missing privacy_policy_ref ¡÷ NOT_CLOSURE_GRADE + DENY
case_03,PROFILE_OPENRAN_RIC,"policy=PRIV@v3, scope=SCOPE.MIN",NONE,NONE,READY,NOT_CLOSURE_GRADE,DENY,FAIL,Stale privacy_policy ¡÷ INSUFFICIENT + PRIVACY_STALE
case_04,PROFILE_OPENRAN_RIC,"policy=PRIV@v4, scope=SCOPE.MIN",SUPPORT_CLOSURE,NONE,READY,PARTIAL_RELIANCE,ADMIT,PASS,All refs + BYUSE(SUPPORT_CLOSURE) ¡÷ PARTIAL_RELIANCE
case_05,PROFILE_OPENRAN_RIC,"policy=PRIV@v4, scope=SCOPE.MIN",SUPPORT_CLOSURE,NONE,READY,NOT_CLOSURE_GRADE,ADMIT,PASS,Missing window_policy_id + BYUSE ¡÷ NOT_CLOSURE_GRADE
case_06,PROFILE_OPENRAN_RIC,"policy=PRIV@v4, scope=SCOPE.MIN",SUPPORT_CLOSURE,NONE,READY,PARTIAL_RELIANCE,ADMIT,PASS,All refs supplemented + BYUSE ¡÷ PARTIAL_RELIANCE
case_07,PROFILE_OPENRAN_RIC,"policy=PRIV@v4, scope=SCOPE.MIN",NONE,full_with_auth,READY,DELIVERY_GRADE,ADMIT,PASS,Export priv without authority ¡÷ egress DENY
case_08,PROFILE_OPENRAN_RIC,"policy=PRIV@v4, scope=SCOPE.OPERATOR_ONLY",NONE,full_with_auth,READY,DELIVERY_GRADE,ADMIT,PASS,Export priv with authority ¡÷ egress ALLOW + receipt
case_09,WIFI78_INSTALL_ACCEPT,NONE,NONE,NONE,READY,DELIVERY_GRADE,ADMIT,NOT_APPLICABLE,Privacy not applicable profile ¡÷ NOT_APPLICABLE
case_10,PROFILE_OPENRAN_RIC,"policy=PRIV@v2, scope=SCOPE.MIN",NONE,NONE,READY,NOT_CLOSURE_GRADE,DENY,FAIL,Policy drift (version jump) ¡÷ DEGRADE + POLICY_DRIFT
